[2026-04-24T07:34:07.408Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 200 (1ms, 11302B)
[2026-04-24T07:34:07.408Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 200 (1ms, 23253B)
[2026-04-24T07:34:07.408Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx?t=1777016029408 → 500 (1ms, ?B)
[2026-04-24T07:34:07.409Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (?ms, 1972B)
[2026-04-24T07:34:23.663Z] GET http://localhost:5174/ → 200 (3ms, 372B)
[2026-04-24T07:34:23.671Z] GET http://localhost:5174/@vite/client → 304 (?ms, ?B)
[2026-04-24T07:34:23.671Z] GET http://localhost:5174/src/renderer/index.tsx?t=1777016063609 → 200 (1ms, 2346B)
[2026-04-24T07:34:23.671Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (29ms, ?B)
[2026-04-24T07:34:23.673Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:34:23.673Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:34:23.673Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (1ms, 1021706B)
[2026-04-24T07:34:23.674Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016029408 → 304 (26ms, ?B)
[2026-04-24T07:34:23.674Z] GET http://localhost:5174/src/renderer/index.css?t=1777016063609 → 200 (26ms, 19412B)
[2026-04-24T07:34:23.674Z] GET http://localhost:5174/src/renderer/dev-mock.ts?t=1777016063609 → 200 (26ms, 11672B)
[2026-04-24T07:34:23.674Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (?ms, 46922B)
[2026-04-24T07:34:23.700Z] GET http://localhost:5174/src/renderer/store.ts → 304 (?ms, ?B)
[2026-04-24T07:34:23.700Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 304 (1ms, ?B)
[2026-04-24T07:34:23.700Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 304 (1ms, ?B)
[2026-04-24T07:34:23.700Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx?t=1777016029408 → 500 (1ms, ?B)
[2026-04-24T07:34:23.700Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (?ms, 1972B)
[2026-04-24T07:34:31.867Z] GET http://localhost:5174/ → 200 (3ms, 372B)
[2026-04-24T07:34:31.873Z] GET http://localhost:5174/@vite/client → 304 (1ms, ?B)
[2026-04-24T07:34:31.873Z] GET http://localhost:5174/src/renderer/index.tsx?t=1777016071815 → 200 (2ms, 2346B)
[2026-04-24T07:34:31.875Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (23ms, ?B)
[2026-04-24T07:34:31.875Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:34:31.875Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:34:31.875Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (1ms, 1021706B)
[2026-04-24T07:34:31.876Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016029408 → 304 (22ms, ?B)
[2026-04-24T07:34:31.876Z] GET http://localhost:5174/src/renderer/index.css?t=1777016071815 → 200 (22ms, 19412B)
[2026-04-24T07:34:31.876Z] GET http://localhost:5174/src/renderer/dev-mock.ts?t=1777016071815 → 200 (22ms, 11726B)
[2026-04-24T07:34:31.876Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (?ms, 46922B)
[2026-04-24T07:34:31.898Z] GET http://localhost:5174/src/renderer/store.ts → 304 (1ms, ?B)
[2026-04-24T07:34:31.898Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 304 (1ms, ?B)
[2026-04-24T07:34:31.898Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 304 (1ms, ?B)
[2026-04-24T07:34:31.899Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx?t=1777016029408 → 500 (1ms, ?B)
[2026-04-24T07:34:31.899Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (?ms, 1972B)
[2026-04-24T07:34:48.163Z] GET http://localhost:5174/ → 200 (5ms, 372B)
[2026-04-24T07:34:48.173Z] GET http://localhost:5174/@vite/client → 200 (4ms, 182535B)
[2026-04-24T07:34:48.173Z] GET http://localhost:5174/src/renderer/index.tsx?t=1777016088109 → 200 (1ms, 2346B)
[2026-04-24T07:34:48.175Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:34:48.175Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:34:48.175Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (?ms, 1021706B)
[2026-04-24T07:34:48.175Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016029408 → 200 (27ms, 20146B)
[2026-04-24T07:34:48.175Z] GET http://localhost:5174/src/renderer/index.css?t=1777016088109 → 200 (27ms, 19412B)
[2026-04-24T07:34:48.175Z] GET http://localhost:5174/src/renderer/dev-mock.ts?t=1777016088109 → 200 (27ms, 11780B)
[2026-04-24T07:34:48.175Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (1ms, 46922B)
[2026-04-24T07:34:48.177Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 200 (25ms, 3861B)
[2026-04-24T07:34:48.202Z] GET http://localhost:5174/src/renderer/store.ts → 200 (?ms, 11530B)
[2026-04-24T07:34:48.202Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 200 (1ms, 11302B)
[2026-04-24T07:34:48.202Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 200 (1ms, 23253B)
[2026-04-24T07:34:48.202Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx?t=1777016029408 → 500 (1ms, ?B)
